institution,institution_full,institution_ror,dataset_id,doi,creator_order,given_name,family_name,author_name,orcid,pids,affiliation_source
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::1b9e4ba0eb2688bbe697919a90123882,10.5281/zenodo.15736275,2,Alžběta,Danielisová,Alžběta Danielisová,0000-0002-1918-7130,"doi:10.5281/zenodo.15736275, doi:10.5281/zenodo.15736276",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::1b9e4ba0eb2688bbe697919a90123882,10.5281/zenodo.15736276,2,Alžběta,Danielisová,Alžběta Danielisová,0000-0002-1918-7130,"doi:10.5281/zenodo.15736275, doi:10.5281/zenodo.15736276",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::028b728b71669a780837747e2dbd1149,10.5281/zenodo.15267636,18,Barbora,Weissova,Barbora Weissova,0000-0002-3297-6855,"doi:10.5281/zenodo.15267636, doi:10.5281/zenodo.15267637, doi:10.5281/zenodo.17062241, doi:10.5281/zenodo.17062480, doi:10.5281/zenodo.17122148",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::028b728b71669a780837747e2dbd1149,10.5281/zenodo.15267637,18,Barbora,Weissova,Barbora Weissova,0000-0002-3297-6855,"doi:10.5281/zenodo.15267636, doi:10.5281/zenodo.15267637, doi:10.5281/zenodo.17062241, doi:10.5281/zenodo.17062480, doi:10.5281/zenodo.17122148",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::028b728b71669a780837747e2dbd1149,10.5281/zenodo.17062241,18,Barbora,Weissova,Barbora Weissova,0000-0002-3297-6855,"doi:10.5281/zenodo.15267636, doi:10.5281/zenodo.15267637, doi:10.5281/zenodo.17062241, doi:10.5281/zenodo.17062480, doi:10.5281/zenodo.17122148",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::028b728b71669a780837747e2dbd1149,10.5281/zenodo.17062480,18,Barbora,Weissova,Barbora Weissova,0000-0002-3297-6855,"doi:10.5281/zenodo.15267636, doi:10.5281/zenodo.15267637, doi:10.5281/zenodo.17062241, doi:10.5281/zenodo.17062480, doi:10.5281/zenodo.17122148",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::028b728b71669a780837747e2dbd1149,10.5281/zenodo.17122148,18,Barbora,Weissova,Barbora Weissova,0000-0002-3297-6855,"doi:10.5281/zenodo.15267636, doi:10.5281/zenodo.15267637, doi:10.5281/zenodo.17062241, doi:10.5281/zenodo.17062480, doi:10.5281/zenodo.17122148",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,datacite_only::10.60585/c-dd-202300001,10.60585/c-dd-202300001,1,Daniel,Dvořáček,Daniel Dvořáček,,doi:10.60585/c-dd-202300001,datacite_only
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::1ac3fa5091f32bb8a83c2f5010f7b414,10.5281/zenodo.15754872,2,Daniel,Pilař,Daniel Pilař,0000-0003-2419-0139,"doi:10.5281/zenodo.15754872, doi:10.5281/zenodo.15754873",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::1ac3fa5091f32bb8a83c2f5010f7b414,10.5281/zenodo.15754873,2,Daniel,Pilař,Daniel Pilař,0000-0003-2419-0139,"doi:10.5281/zenodo.15754872, doi:10.5281/zenodo.15754873",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::2e598e0391bf65071bc7cc1d1e8c6b51,10.5281/zenodo.17072569,1,Daniel,Pilař,Daniel Pilař,0000-0003-2419-0139,"doi:10.5281/zenodo.17072569, doi:10.5281/zenodo.17072570",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::2e598e0391bf65071bc7cc1d1e8c6b51,10.5281/zenodo.17072570,1,Daniel,Pilař,Daniel Pilař,0000-0003-2419-0139,"doi:10.5281/zenodo.17072569, doi:10.5281/zenodo.17072570",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,datacite_only::10.25504/fairsharing.4160e0,10.25504/fairsharing.4160e0,3,David,Novák,David Novák,https://orcid.org/0000-0001-6592-6291,doi:10.25504/fairsharing.4160e0,datacite_only
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,datacite_only::10.25504/fairsharing.4160e0,10.25504/fairsharing.4160e0,2,David,Novák,David Novák,https://orcid.org/0000-0001-6592-6291,doi:10.25504/fairsharing.4160e0,datacite_only
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::e7b635fb3a68e0e5b86019767b8cd9b0,10.5281/zenodo.5764172,4,David,Novák,David Novák,0000-0001-6592-6291,"doi:10.5281/zenodo.5764172, doi:10.5281/zenodo.5764173",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::e7b635fb3a68e0e5b86019767b8cd9b0,10.5281/zenodo.5764173,4,David,Novák,David Novák,0000-0001-6592-6291,"doi:10.5281/zenodo.5764172, doi:10.5281/zenodo.5764173",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::0ea65dcfaa8c469dd6c6c4541be00147,10.5281/zenodo.14982375,1,Jan,Kolář,Jan Kolář,0000-0001-8013-6992,"doi:10.5281/zenodo.14982375, doi:10.5281/zenodo.14982376",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::0ea65dcfaa8c469dd6c6c4541be00147,10.5281/zenodo.14982376,1,Jan,Kolář,Jan Kolář,0000-0001-8013-6992,"doi:10.5281/zenodo.14982375, doi:10.5281/zenodo.14982376",datacite
