institution;institution_full;institution_ror;dataset_id;doi;creator_order;given_name;family_name;author_name;orcid;pids;affiliation_source
RILOG;Silva Tarouca Research Institute for Landscape and Ornamental Gardening;https://ror.org/04gf11d56;doi_________::510342c308e2d98246f4ce9ae6085171;10.5061/dryad.zs7h44jk9;4;Kamil;Král;Kamil Král;;doi:10.5061/dryad.zs7h44jk9;datacite
CULS;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;doi_________::510342c308e2d98246f4ce9ae6085171;10.5061/dryad.zs7h44jk9;5;Martin;Mikoláš;Martin Mikoláš;;doi:10.5061/dryad.zs7h44jk9;datacite
RILOG;Silva Tarouca Research Institute for Landscape and Ornamental Gardening;https://ror.org/04gf11d56;doi_________::510342c308e2d98246f4ce9ae6085171;10.5061/dryad.zs7h44jk9;11;Tomáš;Přívětivý;Tomáš Přívětivý;;doi:10.5061/dryad.zs7h44jk9;datacite
Charles University;Charles University;https://ror.org/024d6js02;doi_dedup___::3597458a1443f5ba1aa9cb1f1dc1997b;10.6084/m9.figshare.26676212.v1;44;Martin;Oliverius;Martin Oliverius;;doi:10.6084/m9.figshare.26676212, doi:10.6084/m9.figshare.26676212.v1;datacite
Institute of Experimental Medicine;Institute of Experimental Medicine;https://ror.org/03hjekm25;doi_dedup___::3597458a1443f5ba1aa9cb1f1dc1997b;10.6084/m9.figshare.26676212.v1;62;Klara;Vokacova;Klara Vokacova;;doi:10.6084/m9.figshare.26676212, doi:10.6084/m9.figshare.26676212.v1;datacite
Charles University;Charles University;https://ror.org/024d6js02;doi_dedup___::3597458a1443f5ba1aa9cb1f1dc1997b;10.6084/m9.figshare.26676212.v1;61;Ludmila;Vodickova;Ludmila Vodickova;;doi:10.6084/m9.figshare.26676212, doi:10.6084/m9.figshare.26676212.v1;datacite
MU;Masaryk University;https://ror.org/02j46qs45;doi_dedup___::8d5577412fc92d4c92e2212670a95936;10.17632/x8stnrtfrj.2;7;Ondřej;Zendulka;Ondřej Zendulka;https://orcid.org/0000-0001-5038-4899;doi:10.17632/x8stnrtfrj, doi:10.17632/x8stnrtfrj.1, doi:10.17632/x8stnrtfrj.2;datacite
IOCB;Institute of Organic Chemistry and Biochemistry;https://ror.org/04nfjn472;doi_dedup___::4c0322826e99ac412ee2986358dfb427;10.5281/zenodo.13938791;2;Zdeněk;Knejzlík;Zdeněk Knejzlík;;doi:10.5281/zenodo.13938790, doi:10.5281/zenodo.13938791;datacite
MU;Masaryk University;https://ror.org/02j46qs45;doi_dedup___::797bd0f53e4a766254284ef79f33f7ad;10.5281/zenodo.16383919;4;Anne-Li;Demonie;Anne-Li Demonie;;doi:10.5281/zenodo.14747614, doi:10.5281/zenodo.14747615, doi:10.5281/zenodo.16383919;datacite
MU;Masaryk University;https://ror.org/02j46qs45;doi_dedup___::797bd0f53e4a766254284ef79f33f7ad;10.5281/zenodo.16383919;5;Veronika;Kloudová;Veronika Kloudová;;doi:10.5281/zenodo.14747614, doi:10.5281/zenodo.14747615, doi:10.5281/zenodo.16383919;datacite
MU;Masaryk University;https://ror.org/02j46qs45;doi_dedup___::797bd0f53e4a766254284ef79f33f7ad;10.5281/zenodo.14747614;2;Pavel;Caha;Pavel Caha;0000-0003-1428-8052;doi:10.5281/zenodo.14747614, doi:10.5281/zenodo.14747615, doi:10.5281/zenodo.16383919;datacite
