institution,institution_full,institution_ror,dataset_id,doi,creator_order,given_name,family_name,author_name,orcid,pids,affiliation_source
AAU,Anglo-American University,https://ror.org/03arvv474,doi_________::5c9947d6dbbc3cb45e6135ce582e47cd,10.7910/dvn/l28uaq,2,,Havranek,"Havranek, Tomas",,doi:10.7910/dvn/l28uaq,openaire
AAU,Anglo-American University,https://ror.org/03arvv474,doi_________::5c9947d6dbbc3cb45e6135ce582e47cd,10.7910/dvn/l28uaq,1,,Irsova,"Irsova, Zuzana",,doi:10.7910/dvn/l28uaq,openaire
AAU,Anglo-American University,https://ror.org/03arvv474,doi_________::5c9947d6dbbc3cb45e6135ce582e47cd,10.7910/dvn/l28uaq,3,,Laslopova,"Laslopova, Lubica",,doi:10.7910/dvn/l28uaq,openaire
AAU,Anglo-American University,https://ror.org/03arvv474,doi_________::5c9947d6dbbc3cb45e6135ce582e47cd,10.7910/dvn/l28uaq,4,,Zeynalova,"Zeynalova, Olesia",,doi:10.7910/dvn/l28uaq,openaire
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::a7dedd74e28d8df028ef87652ffa7285,10.5281/zenodo.4453185,3,,Chvojka,"Chvojka, Ondřej",,"doi:10.5281/zenodo.4453184, doi:10.5281/zenodo.4453185",openaire
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::d08a4787589748a7191d6eba451d467c,10.5281/zenodo.6475798,3,,Chvojka,"Chvojka, Ondřej",,"doi:10.5281/zenodo.6475797, doi:10.5281/zenodo.6475798",openaire
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::a7dedd74e28d8df028ef87652ffa7285,10.5281/zenodo.4453185,1,,Kuna,"Kuna, Martin",,"doi:10.5281/zenodo.4453184, doi:10.5281/zenodo.4453185",openaire
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::d08a4787589748a7191d6eba451d467c,10.5281/zenodo.6475798,1,,Kuna,"Kuna, Martin",,"doi:10.5281/zenodo.6475797, doi:10.5281/zenodo.6475798",openaire
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::a7dedd74e28d8df028ef87652ffa7285,10.5281/zenodo.4453185,2,,Křivánek,"Křivánek, Roman",,"doi:10.5281/zenodo.4453184, doi:10.5281/zenodo.4453185",openaire
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::d08a4787589748a7191d6eba451d467c,10.5281/zenodo.6475798,2,,Němcová,"Němcová, Andrea",,"doi:10.5281/zenodo.6475797, doi:10.5281/zenodo.6475798",openaire
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::a7dedd74e28d8df028ef87652ffa7285,10.5281/zenodo.4453185,4,,Šálková,"Šálková, Tereza",,"doi:10.5281/zenodo.4453184, doi:10.5281/zenodo.4453185",openaire
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::c35ca913dd259f1a510fef25bfbe26e8,10.17026/dans-zj7-ejmr,34,,Buzasi,A Buzasi,,doi:10.17026/dans-zj7-ejmr,openaire
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::c35ca913dd259f1a510fef25bfbe26e8,10.17026/dans-zj7-ejmr,24,,Flamos,A Flamos,,doi:10.17026/dans-zj7-ejmr,openaire
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::c35ca913dd259f1a510fef25bfbe26e8,10.17026/dans-zj7-ejmr,8,,Foley,A Foley,,doi:10.17026/dans-zj7-ejmr,openaire
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::c35ca913dd259f1a510fef25bfbe26e8,10.17026/dans-zj7-ejmr,20,,Krook-Riekkola,A Krook-Riekkola,,doi:10.17026/dans-zj7-ejmr,openaire
