institution,institution_full,institution_ror,dataset_id,doi,creator_order,given_name,family_name,author_name,orcid,pids,affiliation_source
AAU,Anglo-American University,https://ror.org/03arvv474,doi_________::5c9947d6dbbc3cb45e6135ce582e47cd,10.7910/dvn/l28uaq,2,,Havranek,"Havranek, Tomas",,doi:10.7910/dvn/l28uaq,openaire
AAU,Anglo-American University,https://ror.org/03arvv474,doi_________::5c9947d6dbbc3cb45e6135ce582e47cd,10.7910/dvn/l28uaq,1,,Irsova,"Irsova, Zuzana",,doi:10.7910/dvn/l28uaq,openaire
AAU,Anglo-American University,https://ror.org/03arvv474,doi_________::5c9947d6dbbc3cb45e6135ce582e47cd,10.7910/dvn/l28uaq,3,,Laslopova,"Laslopova, Lubica",,doi:10.7910/dvn/l28uaq,openaire
AAU,Anglo-American University,https://ror.org/03arvv474,doi_________::5c9947d6dbbc3cb45e6135ce582e47cd,10.7910/dvn/l28uaq,4,,Zeynalova,"Zeynalova, Olesia",,doi:10.7910/dvn/l28uaq,openaire
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::a7dedd74e28d8df028ef87652ffa7285,10.5281/zenodo.4453185,3,,Chvojka,"Chvojka, Ondřej",,"doi:10.5281/zenodo.4453184, doi:10.5281/zenodo.4453185",openaire
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::d08a4787589748a7191d6eba451d467c,10.5281/zenodo.6475798,3,,Chvojka,"Chvojka, Ondřej",,"doi:10.5281/zenodo.6475797, doi:10.5281/zenodo.6475798",openaire
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::a7dedd74e28d8df028ef87652ffa7285,10.5281/zenodo.4453185,1,,Kuna,"Kuna, Martin",,"doi:10.5281/zenodo.4453184, doi:10.5281/zenodo.4453185",openaire
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::d08a4787589748a7191d6eba451d467c,10.5281/zenodo.6475798,1,,Kuna,"Kuna, Martin",,"doi:10.5281/zenodo.6475797, doi:10.5281/zenodo.6475798",openaire
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::a7dedd74e28d8df028ef87652ffa7285,10.5281/zenodo.4453185,2,,Křivánek,"Křivánek, Roman",,"doi:10.5281/zenodo.4453184, doi:10.5281/zenodo.4453185",openaire
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::d08a4787589748a7191d6eba451d467c,10.5281/zenodo.6475798,2,,Němcová,"Němcová, Andrea",,"doi:10.5281/zenodo.6475797, doi:10.5281/zenodo.6475798",openaire
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::a7dedd74e28d8df028ef87652ffa7285,10.5281/zenodo.4453185,4,,Šálková,"Šálková, Tereza",,"doi:10.5281/zenodo.4453184, doi:10.5281/zenodo.4453185",openaire
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_________::3efe9d12892a7e3bfde841ec2e1a0506,10.6084/m9.figshare.16850419.v2,63,,A. Minor,"A. Minor, Maria",,doi:10.6084/m9.figshare.16850419.v2,openaire
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::0b0eaaaceb9fe277567ef4fc40bee519,10.6084/m9.figshare.16850419.v3,63,,A. Minor,"A. Minor, Maria",,"doi:10.6084/m9.figshare.16850419, doi:10.6084/m9.figshare.16850419.v3",openaire
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_________::3139610bc061b66b88ce92bf24d1d1c4,10.5291/ill-data.6-07-64,2,,,ABDELSATER Mohammad,,doi:10.5291/ill-data.6-07-64,openaire
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_________::ecfd3e041935796a39afb68cbf3f5fd6,10.57745/0ifrjt,8,,ALISEDA,"ALISEDA, Alberto",,doi:10.57745/0ifrjt,openaire
