institution;institution_full;institution_ror;dataset_id;doi;creator_order;given_name;family_name;author_name;orcid;pids;affiliation_source
Institute of Pharmacology;Institute of Pharmacology;https://ror.org/01ss14a40;doi_________::2f11ba99172352434cf9c6eb0c0d19fc;10.11588/data/veeidp/n2w2xz;3;;Stegemann;Stegemann, Alina;;doi:10.11588/data/veeidp/n2w2xz;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_________::2f11ba99172352434cf9c6eb0c0d19fc;10.11588/data/veeidp/n2w2xz;1;;Oswald;Oswald, Manfred Josef;;doi:10.11588/data/veeidp/n2w2xz;openaire
Charles University;Charles University;https://ror.org/024d6js02;doi_________::2f11ba99172352434cf9c6eb0c0d19fc;10.11588/data/veeidp/n2w2xz;5;;Kuner;Kuner, Rohini;;doi:10.11588/data/veeidp/n2w2xz;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_dedup___::2b867b87b2963fa8ffa586db6e167f50;10.5281/zenodo.6983158;92;;Godoy;Godoy, Roberto;;doi:10.5281/zenodo.6983157, doi:10.5281/zenodo.6983158, handle:1942/40339;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_dedup___::2b867b87b2963fa8ffa586db6e167f50;10.5281/zenodo.6983158;7;;Prylutskyi;Prylutskyi, Oleh;;doi:10.5281/zenodo.6983157, doi:10.5281/zenodo.6983158, handle:1942/40339;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_dedup___::2b867b87b2963fa8ffa586db6e167f50;10.5281/zenodo.6983158;106;;Yasanthika;Yasanthika, W. A. Erandi;;doi:10.5281/zenodo.6983157, doi:10.5281/zenodo.6983158, handle:1942/40339;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_dedup___::2b867b87b2963fa8ffa586db6e167f50;10.5281/zenodo.6983158;3;;Zizka;Zizka, Alexander;;doi:10.5281/zenodo.6983157, doi:10.5281/zenodo.6983158, handle:1942/40339;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_dedup___::2b867b87b2963fa8ffa586db6e167f50;10.5281/zenodo.6983158;43;;Rähn;Rähn, Elisabeth;;doi:10.5281/zenodo.6983157, doi:10.5281/zenodo.6983158, handle:1942/40339;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_dedup___::2b867b87b2963fa8ffa586db6e167f50;10.5281/zenodo.6983158;75;;Hansson;Hansson, Linda;;doi:10.5281/zenodo.6983157, doi:10.5281/zenodo.6983158, handle:1942/40339;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_dedup___::2b867b87b2963fa8ffa586db6e167f50;10.5281/zenodo.6983158;88;;Nilsson;Nilsson, Henrik R.;;doi:10.5281/zenodo.6983157, doi:10.5281/zenodo.6983158, handle:1942/40339;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_dedup___::2b867b87b2963fa8ffa586db6e167f50;10.5281/zenodo.6983158;95;;Dudov;Dudov, Sergey V.;;doi:10.5281/zenodo.6983157, doi:10.5281/zenodo.6983158, handle:1942/40339;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_________::b6e8e25bd80faf916b2bd9bc7ad3144d;10.11588/data/veeidp/vxhjba;1;;Oswald;Oswald, Manfred Josef;;doi:10.11588/data/veeidp/vxhjba;openaire
Institute of Pharmacology;Institute of Pharmacology;https://ror.org/01ss14a40;doi_________::b6e8e25bd80faf916b2bd9bc7ad3144d;10.11588/data/veeidp/vxhjba;2;;Beretta;Beretta, Carlo Antonio;;doi:10.11588/data/veeidp/vxhjba;openaire
Institute of Pharmacology;Institute of Pharmacology;https://ror.org/01ss14a40;doi_________::ec0143dee6037d9750df10021c8c7f77;10.11588/data/veeidp/xfakc4;3;;Stegemann;Stegemann, Alina;;doi:10.11588/data/veeidp/xfakc4;openaire
Charles University;Charles University;https://ror.org/024d6js02;doi_________::ec0143dee6037d9750df10021c8c7f77;10.11588/data/veeidp/xfakc4;2;;Beretta;Beretta, Carlo Antonio;;doi:10.11588/data/veeidp/xfakc4;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_________::ec0143dee6037d9750df10021c8c7f77;10.11588/data/veeidp/xfakc4;5;;Kuner;Kuner, Rohini;;doi:10.11588/data/veeidp/xfakc4;openaire
Charles University;Charles University;https://ror.org/024d6js02;doi_________::af17c1fb87020bc5b058f522f9d7d52a;10.11588/data/veeidp/dppi4h;3;;Stegemann;Stegemann, Alina;;doi:10.11588/data/veeidp/dppi4h;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_dedup___::91303e63ddf0b1c0373c19bb89ea9b08;10.5880/gfz.4.1.2022.002;4;;Warsitzka;Warsitzka, Michael;;doi:10.5880/gfz.4.1.2022.002;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_dedup___::91303e63ddf0b1c0373c19bb89ea9b08;10.5880/gfz.4.1.2022.002;1;;Rosenau;Rosenau, Matthias;;doi:10.5880/gfz.4.1.2022.002;openaire
MU;Masaryk University;https://ror.org/02j46qs45;doi_dedup___::bc0d55cd28d822c6793f5f6b5be94424;10.6084/m9.figshare.22688636.v1;18;;Wangsa;Wangsa, Darawalee;;doi:10.6084/m9.figshare.22688636, doi:10.6084/m9.figshare.22688636.v1;openaire
MU;Masaryk University;https://ror.org/02j46qs45;doi_dedup___::bc0d55cd28d822c6793f5f6b5be94424;10.6084/m9.figshare.22688636.v1;21;;Difilippantonio;Difilippantonio, Simone;;doi:10.6084/m9.figshare.22688636, doi:10.6084/m9.figshare.22688636.v1;openaire
MU;Masaryk University;https://ror.org/02j46qs45;doi_dedup___::bc0d55cd28d822c6793f5f6b5be94424;10.6084/m9.figshare.22688636.v1;9;;Yang;Yang, Youfeng;;doi:10.6084/m9.figshare.22688636, doi:10.6084/m9.figshare.22688636.v1;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_________::3ad233165ada1df897bc849f718129ce;10.11588/data/veeidp/ae8lpj;5;;Kuner;Kuner, Rohini;;doi:10.11588/data/veeidp/ae8lpj;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_________::a23f493bfe2cac8776552e4521e458d7;10.7914/2cat-tq59;10;;;Jovan Dedic;;doi:10.7914/2cat-tq59;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_________::a23f493bfe2cac8776552e4521e458d7;10.7914/2cat-tq59;2;;;Joachim Wassermann;;doi:10.7914/2cat-tq59;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_________::a23f493bfe2cac8776552e4521e458d7;10.7914/2cat-tq59;1;;;Antje Schlömer;;doi:10.7914/2cat-tq59;openaire
BC;Biology Centre;https://ror.org/05pq4yn02;doi_dedup___::8154d33e3e4fc3c8b39b6d5cca48c7c1;10.5281/zenodo.14058271;4;;Przybyłowicz;Przybyłowicz, Łukasz;;doi:10.5281/zenodo.14058270, doi:10.5281/zenodo.14058271;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_________::85c0abb807dfb20b8ae052cc7b52650d;10.11588/data/veeidp/b2jeyt;4;;Han;Han, Yechao;;doi:10.11588/data/veeidp/b2jeyt;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_________::85c0abb807dfb20b8ae052cc7b52650d;10.11588/data/veeidp/b2jeyt;5;;Kuner;Kuner, Rohini;;doi:10.11588/data/veeidp/b2jeyt;openaire
Charles University;Charles University;https://ror.org/024d6js02;doi_________::6f6bbd29659c76446d57db78d1cb8a9f;10.11588/data/et9g9x/cpmj0y;2;;Han;Han, Yechao;;doi:10.11588/data/et9g9x/cpmj0y;openaire
University of Ostrava;University of Ostrava;https://ror.org/00pyqav47;doi_dedup___::83f682cfbe92de3dab4dbcb06872d7d7;10.6084/m9.figshare.14222489.v1;2;;Podešvová;Podešvová, Lucie;;doi:10.6084/m9.figshare.14222489, doi:10.6084/m9.figshare.14222489.v1;openaire
University of Ostrava;University of Ostrava;https://ror.org/00pyqav47;doi_dedup___::83f682cfbe92de3dab4dbcb06872d7d7;10.6084/m9.figshare.14222489.v1;4;;Bianchi;Bianchi, Claretta;;doi:10.6084/m9.figshare.14222489, doi:10.6084/m9.figshare.14222489.v1;openaire
Charles University;Charles University;https://ror.org/024d6js02;doi_dedup___::83f682cfbe92de3dab4dbcb06872d7d7;10.6084/m9.figshare.14222489.v1;9;;Matveeva;Matveeva, Nadezhda S.;;doi:10.6084/m9.figshare.14222489, doi:10.6084/m9.figshare.14222489.v1;openaire
Charles University;Charles University;https://ror.org/024d6js02;doi_________::da6dfa995eeb7efdde7c2e3a872f1178;10.11588/data/veeidp/h1mv7a;4;;Han;Han, Yechao;;doi:10.11588/data/veeidp/h1mv7a;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_dedup___::df42b73b1ae71ed557abd9b18710734f;10.5281/zenodo.11032286;2;;Hladík;Hladík, Pavel;;doi:10.5281/zenodo.11032285, doi:10.5281/zenodo.11032286;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_dedup___::df42b73b1ae71ed557abd9b18710734f;10.5281/zenodo.11032286;1;;Petřík;Petřík, Ivan;;doi:10.5281/zenodo.11032285, doi:10.5281/zenodo.11032286;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_________::922ecbc97a6c76c4e46231daece7c0e7;10.57903/uj/g6sruc;2;;Gołda-Cępa;Gołda-Cępa, Monika;;doi:10.57903/uj/g6sruc;openaire
IOCB;Institute of Organic Chemistry and Biochemistry;https://ror.org/04nfjn472;doi_________::922ecbc97a6c76c4e46231daece7c0e7;10.57903/uj/g6sruc;1;;Chytrosz-Wróbel;Chytrosz-Wróbel, Paulina;;doi:10.57903/uj/g6sruc;openaire
ČVUT;Czech Technical University in Prague;https://ror.org/03kqpb082;doi_________::69cb58e24676eca64cee41dfb3c0e757;10.17632/pvtwhy3fz5;4;;Padevet;Padevet, Pavel;;doi:10.17632/pvtwhy3fz5;openaire
AVCR;Czech Academy of Sciences;https://ror.org/053avzc18;doi_dedup___::de0736dd72a2f5eb24c47070918df26f;10.5281/zenodo.15160894;2;;Korn;Korn, Dieter;;doi:10.5281/zenodo.15160893, doi:10.5281/zenodo.15160894;openaire
