doi_norm;inst_full_oa;institution_ror;affiliation_name;oa_full_norm;dc_aff_norm;auto_match;manual_match
10.12751/g-node.74jj3f;Charles University;https://ror.org/024d6js02;Department of Neurology, 2nd Faculty of Medicine, Charles University in Prague and Motol University Hospital, Prague, Czech Republic;charlesuniversity;departmentof neurology, 2nd faculty of medicine, charles university in prague and motol university hospital, prague, czech republic;;match?
10.12751/g-node.74jj3f;University Hospital in Motol;https://ror.org/0125yxn03;Department of Neurology, 2nd Faculty of Medicine, Charles University in Prague and Motol University Hospital, Prague, Czech Republic;universityhospital in motol;departmentof neurology, 2nd faculty of medicine, charles university in prague and motol university hospital, prague, czech republic;;match?
10.14278/rodare.1330;Brno University of Technology;https://ror.org/03613d656;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 612 00 Brno, Czech Republic, Institute of Physical Engineering, Faculty of Mechanical Engineering, Brno University of Technology, Brno University of Technology, Purkyňova 123, 612 00, Brno, Czech Republic;brnouniversity of technology;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 612 00 brno, czech republic, institute of physical engineering, faculty of mechanical engineering, brno university of technology, brno university of technology, purkynova 123, 612 00, brno, czech republic;;match?
10.14278/rodare.1330;Brno University of Technology;https://ror.org/03613d656;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 612 00 Brno, Czech Republic, Institute of Physical Engineering, Faculty of Mechanical Engineering, Brno University of Technology, Brno University of Technology, Purkyňova 123, 612 00, Brno, Czech Republic;brnouniversity of technology;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 612 00 brno, czech republic, institute of physical engineering, faculty of mechanical engineering, brno university of technology, brno university of technology, purkynova 123, 612 00, brno, czech republic;;match?
10.14278/rodare.1330;Central European Institute of Technology;https://ror.org/01p7k1986;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 612 00 Brno, Czech Republic, Institute of Physical Engineering, Faculty of Mechanical Engineering, Brno University of Technology, Brno University of Technology, Purkyňova 123, 612 00, Brno, Czech Republic;centraleuropean institute of technology;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 612 00 brno, czech republic, institute of physical engineering, faculty of mechanical engineering, brno university of technology, brno university of technology, purkynova 123, 612 00, brno, czech republic;auto_substring;
10.14278/rodare.1330;Central European Institute of Technology;https://ror.org/01p7k1986;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 612 00 Brno, Czech Republic, Institute of Physical Engineering, Faculty of Mechanical Engineering, Brno University of Technology, Brno University of Technology, Purkyňova 123, 612 00, Brno, Czech Republic;centraleuropean institute of technology;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 612 00 brno, czech republic, institute of physical engineering, faculty of mechanical engineering, brno university of technology, brno university of technology, purkynova 123, 612 00, brno, czech republic;auto_substring;
10.14278/rodare.1330;Charles University;https://ror.org/024d6js02;dDepartment of Condensed Matter Physics, Faculty of Mathematics and Physics, Charles University Ke Karlovu 5, 121 16 Prague 2, Czech Republic, Faculty of Science, Masaryk University, Kotlářská 2, 61137 Brno, Czech Republic;charlesuniversity;ddepartmentof condensed matter physics, faculty of mathematics and physics, charles university ke karlovu 5, 121 16 prague 2, czech republic, faculty of science, masaryk university, kotlarska 2, 61137 brno, czech republic;;match
10.14278/rodare.1330;Masaryk University;https://ror.org/02j46qs45;dDepartment of Condensed Matter Physics, Faculty of Mathematics and Physics, Charles University Ke Karlovu 5, 121 16 Prague 2, Czech Republic, Faculty of Science, Masaryk University, Kotlářská 2, 61137 Brno, Czech Republic;masarykuniversity;ddepartmentof condensed matter physics, faculty of mathematics and physics, charles university ke karlovu 5, 121 16 prague 2, czech republic, faculty of science, masaryk university, kotlarska 2, 61137 brno, czech republic;;match?
10.18419/darus-4117;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
10.18419/darus-4117;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.18419/darus-4117/1;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
