doi_norm;inst_short_oa;inst_full_oa;affiliation_name;oa_full_norm;dc_aff_norm;manual_match
10.5281/zenodo.14638896;VFN;General University Hospital in Prague;Università degli Studi di Milano;pp;"";""
10.48580/dgsv8;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;;pp;"";""
10.48580/dgs4f;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;National Biodiversity Network Trust;pp;"";""
10.6084/m9.figshare.c.7801480.v1;CEITEC MU;Central European Institute of Technology – Masaryk University;University of Cambridge;p;"";""
10.5281/zenodo.7390416;SZU;National Institute of Public Health;SCIENSANO, Belgium;p;"";""
10.6084/m9.figshare.c.7945178.v1;IKEM;Institute of Clinical and Experimental Medicine;University of Erlangen-Nuremberg;p;"";""
10.14278/rodare.2110;FZU;Institute of Physics;;p;"";""
10.6084/m9.figshare.c.7615573.v1;Institute of Parasitology;Institute of Parasitology;University of South Bohemia in České Budějovice;p;"";""
10.5281/zenodo.16963740;FGÚ;Institute of Physiology;Institute of Biotechnology, Czech Academy of Sciences, Vestec, Czechia;p;"";""
10.5281/zenodo.16894917;CULS;Czech University of Life Sciences Prague;University of Bonn;p;"";""
10.48580/dgsv8;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;;pp;"";""
10.5281/zenodo.6637599;CULS;Czech University of Life Sciences Prague;IVL Swedish Environmental Research Institute, Aschebergsgatan 44, 411 33 Göteborg, Sweeden;p;"";""
10.6084/m9.figshare.c.7158337.v1;Palacký University, Olomouc;Palacký University, Olomouc;Charles University;p;"";""
10.15468/m97sd2;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;Max Planck Institute;pp;p;""
10.5281/zenodo.4603685;Jan Evangelista Purkyně University in Ústí nad Labem;Jan Evangelista Purkyně University in Ústí nad Labem;Forest Research Institute Zvolen;p;"";""
10.5281/zenodo.5711706;CULS;Czech University of Life Sciences Prague;Forestry and Game Management Research Institute;p;"";""
10.6084/m9.figshare.c.7953063.v1;FNUSA;St. Anne´s University Hospital;Centro Universitário Fundação Assis Gurgacz;p;"";""
10.48580/dgtg4;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;Zoological Institute RAS;pp;"";""
10.48580/dgs4f;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;;pp;"";""
10.15468/m97sd2;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;;pp;"";""
10.6084/m9.figshare.c.6184902.v1;IPVZ;Institute for Postgraduate Medical Education;Nemocnice Na Bulovce;p;"";""
10.6084/m9.figshare.c.6787450.v1;CEITEC MU;Central European Institute of Technology – Masaryk University;Medical University of Vienna;p;"";""
10.6084/m9.figshare.c.6787450.v1;CEITEC MU;Central European Institute of Technology – Masaryk University;University of Veterinary Medicine Vienna;p;"";""
10.48580/dgsv8;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;;pp;"";""
10.5281/zenodo.10572480;CULS;Czech University of Life Sciences Prague;Biological Sciences, School of Natural Sciences, University of Tasmania, Hobart, Tasmania, Australia;p;"";""
10.48580/dgt98;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;Royal Botanic Gardens;pp;"";""
10.6084/m9.figshare.c.7149681.v1;VSE;University of Economics Prague;Charles University;p;"";""
10.6084/m9.figshare.19915375.v1;CULS;Czech University of Life Sciences Prague;Okinawa Institute of Science and Technology;p;"";""
10.5281/zenodo.13897824;Palacký University, Olomouc;Palacký University, Olomouc;Czech Academy of Sciences;p;"";""
10.5281/zenodo.4516657;CEITEC MU;Central European Institute of Technology – Masaryk University;CEITEC MU;p;"";""
10.48580/dgsv8;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;;pp;"";""
10.6084/m9.figshare.c.6787807.v1;Palacký University, Olomouc;Palacký University, Olomouc;German Cancer Research Center;p;"";""
10.14473/csda/nyxqpt/50ao5q;Institute of Philosophy;Institute of Philosophy;(ResWell Research Collaboration, Tel Aviv University, Tel Aviv, Israel);pp;"";""
10.14473/csda/decebq;Institute of Philosophy;Institute of Philosophy;ResWell Research Collaboration, Tel Aviv University, Tel Aviv, Israel;pp;"";""
10.6084/m9.figshare.c.6787450.v1;CEITEC MU;Central European Institute of Technology – Masaryk University;Medical University of Vienna;p;"";""
10.6084/m9.figshare.c.6872952.v1;CULS;Czech University of Life Sciences Prague;Charles University;p;"";""
10.6084/m9.figshare.c.6982167.v1;University Hospital Brno;University Hospital Brno;Masaryk University;p;"";""
10.5281/zenodo.17162242;CULS;Czech University of Life Sciences Prague;Institute of Natural Sciences;p;"";""
10.15468/m97sd2;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;;pp;"";""
10.5281/zenodo.10888833;Palacký University, Olomouc;Palacký University, Olomouc;ELTE Eötvös Loránd University;p;"";""
10.48580/dgsv8;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;;pp;"";""
10.6084/m9.figshare.c.6926742.v1;FNUSA;St. Anne´s University Hospital;;p;"";""
10.5281/zenodo.15138020;CRI;Crop Research Institute;Rudolfstetten, Switzerland;p;"";""
10.6084/m9.figshare.20341683.v1;University Hospital Brno;University Hospital Brno;Masaryk University;p;"";""
10.15468/m97sd2;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;Catalogue of Life Foundation;pp;"";""
10.5281/zenodo.15154499;University Hospital Hradec Králové;University Hospital Hradec Králové;;p;"";""
10.15468/m97sd2;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;Australian National Botanic Gardens;pp;"";""
10.48580/dgsv8;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;;pp;"";""
10.5281/zenodo.5711706;CULS;Czech University of Life Sciences Prague;National Forest Centre-Forest research Institute;p;"";""
10.5281/zenodo.6637599;CULS;Czech University of Life Sciences Prague;School of GeoSciences, University of Edinburgh, Edinburgh, EH9 3FF, UK;p;"";""
10.5281/zenodo.15681034;CULS;Czech University of Life Sciences Prague;University of Sassari;p;"";""
10.6084/m9.figshare.c.6317439.v1;VSE;University of Economics Prague;;p;"";""
10.6084/m9.figshare.c.7040196.v1;FNUSA-ICRC;International Clinical Research Center of St. Anne's University Hospital Brno;University of Vienna;p;"";""
10.48580/dgs4f;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;;pp;"";""
10.6084/m9.figshare.c.6596173.v1;CULS;Czech University of Life Sciences Prague;University of Namur;p;"";""
10.57760/sciencedb.j00104.00075;ČVUT;Czech Technical University in Prague;Leiden University Medical Center;p;"";""
10.21227/z36r-0m98;University Hospital Hradec Králové;University Hospital Hradec Králové;University of Defence;p;"";""
10.15468/m97sd2;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;;pp;"";""
10.6084/m9.figshare.c.5923208.v1;CEITEC ;Central European Institute of Technology;Medical University of Vienna;p;"";""
10.6084/m9.figshare.c.7185544.v1;ČVUT;Czech Technical University in Prague;Charles University;p;"";""
10.6084/m9.figshare.c.7279053.v1;Palacký University, Olomouc;Palacký University, Olomouc;Charles University;p;"";""
10.15468/m97sd2;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;Agriculture and Agri-Food Canada;pp;"";""
10.48580/dgs4f;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;Real Jardín Botánico de Madrid, CSIC;pp;"";""
10.5281/zenodo.10888833;Palacký University, Olomouc;Palacký University, Olomouc;;p;"";""
10.14473/csda/nyxqpt/avvhwb;Institute of Philosophy;Institute of Philosophy;(Vilnius University, Lithuania);pp;"";""
10.48580/dgsv8;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;;pp;"";""
10.6084/m9.figshare.c.7075282.v1;University Hospital in Motol;University Hospital in Motol;Institute of Myology;p;"";""
10.25384/sage.c.6473511.v1;VFN;General University Hospital in Prague;;pp;"";""
10.48580/dgs4f;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;Natural History Museum;pp;"";""
10.5281/zenodo.15739421;CEITEC ;Central European Institute of Technology;Skolkovo Institute of Science and Technology, Moscow, Russia;p;"";""
10.6084/m9.figshare.c.6590218.v1;IKEM;Institute of Clinical and Experimental Medicine;;p;"";""
10.6084/m9.figshare.c.6770757.v1;VFU;University of Veterinary and Pharmaceutical Sciences;Mendel University in Brno;p;"";""
10.6084/m9.figshare.c.6830133.v1;CEITEC ;Central European Institute of Technology;Nature Research Centre;p;"";""
10.18419/darus-4117;CULS;Czech University of Life Sciences Prague;University of Novi Sad;p;"";""
10.6084/m9.figshare.c.7292241.v1;Palacký University, Olomouc;Palacký University, Olomouc;University of Veterinary Medicine in Košice;p;"";""
10.6084/m9.figshare.c.6765736.v1;VFN;General University Hospital in Prague;University of Oslo;pp;"";""
10.6084/m9.figshare.c.6586648.v1;CULS;Czech University of Life Sciences Prague;;p;"";""
10.15468/m97sd2;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;;pp;"";""
10.48580/dgs4f;PELC;P.E.L.C. - Private Entomological Laboratory and Collection;;pp;"";""
10.5281/zenodo.14444839;FZU;Institute of Physics;Leibniz Institute for Solid State and Materials Research;p;"";""
