doi_norm;inst_short_oa;inst_full_oa;institution_ror;affiliation_name;affiliation_identifier;affiliation_identifier_scheme;affiliation_scheme_uri;oa_full_norm;oa_short_norm;dc_aff_norm;manual_match
10.11588/data/9adqs1;Institute of Archaeology of the Czech Academy of Sciences, Brno;Institute of Archaeology of the Czech Academy of Sciences, Brno;https://ror.org/02bvcjw39;Institute of Archaeology of the Czech Academy of Sciences, Brno;;;;instituteof archaeology of the czech academy of sciences, brno;instituteof archaeology of the czech academy of sciences, brno;instituteof archaeology of the czech academy of sciences, brno;""
10.13026/tn53-8153;VUT;Brno University of Technology;https://ror.org/03613d656;Brno University of Technology, Czech Republic;;;;brnouniversity of technology;vut;brnouniversity of technology, czech republic;""
10.13026/tn53-8153;VUT;Brno University of Technology;https://ror.org/03613d656;Brno University of Technology, Czech Republic;;;;brnouniversity of technology;vut;brnouniversity of technology, czech republic;""
10.13026/tn53-8153;VUT;Brno University of Technology;https://ror.org/03613d656;Brno University of Technology, Czech Republic;;;;brnouniversity of technology;vut;brnouniversity of technology, czech republic;""
10.13026/tn53-8153;VUT;Brno University of Technology;https://ror.org/03613d656;Brno University of Technology, Czech Republic;;;;brnouniversity of technology;vut;brnouniversity of technology, czech republic;""
10.13026/tn53-8153;VUT;Brno University of Technology;https://ror.org/03613d656;Brno University of Technology, Czech Republic;;;;brnouniversity of technology;vut;brnouniversity of technology, czech republic;""
10.13026/tn53-8153;VUT;Brno University of Technology;https://ror.org/03613d656;Brno University of Technology, Czech Republic;;;;brnouniversity of technology;vut;brnouniversity of technology, czech republic;""
10.13026/tn53-8153;VUT;Brno University of Technology;https://ror.org/03613d656;Brno University of Technology, Czech Republic;;;;brnouniversity of technology;vut;brnouniversity of technology, czech republic;""
10.13026/tn53-8153;VUT;Brno University of Technology;https://ror.org/03613d656;Brno University of Technology, Czech Republic;;;;brnouniversity of technology;vut;brnouniversity of technology, czech republic;""
10.13026/tn53-8153;ISI AS CR;Institute of Scientific Instruments;https://ror.org/027taah18;Institute of Scientific Instruments of the CAS, v.v.i., Czech Republic;;;;instituteof scientific instruments;isias cr;instituteof scientific instruments of the cas, v.v.i., czech republic;""
10.13026/tn53-8153;ISI AS CR;Institute of Scientific Instruments;https://ror.org/027taah18;Institute of Scientific Instruments of the Czech Academy of Science, v. v. i., Czech Republic;;;;instituteof scientific instruments;isias cr;instituteof scientific instruments of the czech academy of science, v. v. i., czech republic;""
10.14278/rodare.1330;CEITEC ;Central European Institute of Technology;https://ror.org/01p7k1986;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 612 00 Brno, Czech Republic, Institute of Physical Engineering, Faculty of Mechanical Engineering, Brno University of Technology, Brno University of Technology, Purkyňova 123, 612 00, Brno, Czech Republic;;;;centraleuropean institute of technology;ceitec;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 612 00 brno, czech republic, institute of physical engineering, faculty of mechanical engineering, brno university of technology, brno university of technology, purkynova 123, 612 00, brno, czech republic;""
10.14278/rodare.1330;CEITEC ;Central European Institute of Technology;https://ror.org/01p7k1986;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 612 00 Brno, Czech Republic, Institute of Physical Engineering, Faculty of Mechanical Engineering, Brno University of Technology, Brno University of Technology, Purkyňova 123, 612 00, Brno, Czech Republic;;;;centraleuropean institute of technology;ceitec;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 612 00 brno, czech republic, institute of physical engineering, faculty of mechanical engineering, brno university of technology, brno university of technology, purkynova 123, 612 00, brno, czech republic;""
10.14278/rodare.1330;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Na Slovance 1999/2, 18221 Prague, Czech;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, na slovance 1999/2, 18221 prague, czech;""
10.14278/rodare.1330;IPP;Institute of Plasma Physics;https://ror.org/01h494015;Institute of Plasma Physics of the Czech Academy of Sciences, Za Slovankou 3, 18200 Prague, Czech Republic;;;;instituteof plasma physics;ipp;instituteof plasma physics of the czech academy of sciences, za slovankou 3, 18200 prague, czech republic;""
10.14278/rodare.1330;IPP;Institute of Plasma Physics;https://ror.org/01h494015;Institute of Plasma Physics of the Czech Academy of Sciences, Za Slovankou 3, 18200 Prague, Czech Republic;;;;instituteof plasma physics;ipp;instituteof plasma physics of the czech academy of sciences, za slovankou 3, 18200 prague, czech republic;""
10.14278/rodare.1330;NPI;Nuclear Physics Institute;https://ror.org/04jymbd90;Nuclear Physics Institute of the Czech Academy of Sciences, 250 68 Husinec - Řež, Czech Republic;;;;nuclearphysics institute;npi;nuclearphysics institute of the czech academy of sciences, 250 68 husinec - rez, czech republic;""
10.14278/rodare.1330;NPI;Nuclear Physics Institute;https://ror.org/04jymbd90;Nuclear Physics Institute of the Czech Academy of Sciences, 250 68 Husinec - Řež, Czech Republic;;;;nuclearphysics institute;npi;nuclearphysics institute of the czech academy of sciences, 250 68 husinec - rez, czech republic;""
10.14278/rodare.1330;NPI;Nuclear Physics Institute;https://ror.org/04jymbd90;Nuclear Physics Institute of the Czech Academy of Sciences, 250 68 Husinec - Řež, Czech Republic, Department of Physics, Faculty of Science, J.E. Purkinje University, České Mládeže 8, 400 96 Ustí nad Labem, Czech Republic;;;;nuclearphysics institute;npi;nuclearphysics institute of the czech academy of sciences, 250 68 husinec - rez, czech republic, department of physics, faculty of science, j.e. purkinje university, ceske mladeze 8, 400 96 usti nad labem, czech republic;""
10.14278/rodare.1463;Technical University of Liberec;Technical University of Liberec;https://ror.org/02jtk7k02;Technical University of Liberec;;;;technicaluniversity of liberec;technicaluniversity of liberec;technicaluniversity of liberec;""
10.14278/rodare.1463;Technical University of Liberec;Technical University of Liberec;https://ror.org/02jtk7k02;Technical University of Liberec;;;;technicaluniversity of liberec;technicaluniversity of liberec;technicaluniversity of liberec;""
10.14278/rodare.1624;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Prague, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, prague, czech republic;""
10.14278/rodare.1624;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Prague, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, prague, czech republic;""
10.14278/rodare.1624;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Prague, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, prague, czech republic;""
10.14278/rodare.1624;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Prague, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, prague, czech republic;""
10.14278/rodare.1624;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Prague, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, prague, czech republic;""
10.14278/rodare.1624;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Prague, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, prague, czech republic;""
10.14278/rodare.1624;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Prague, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, prague, czech republic;""
10.14278/rodare.1624;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Prague, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, prague, czech republic;""
10.14278/rodare.1624;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Prague, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, prague, czech republic;""
10.14278/rodare.1624;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Prague, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, prague, czech republic;""
10.14278/rodare.1624;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Prague, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, prague, czech republic;""
10.14278/rodare.1624;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Prague, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, prague, czech republic;""
10.14278/rodare.2110;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Na Slovance 2, 182 21 Prague 8, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, na slovance 2, 182 21 prague 8, czech republic;""
10.14278/rodare.2110;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Na Slovance 2, 182 21 Prague 8, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, na slovance 2, 182 21 prague 8, czech republic;""
10.14278/rodare.2110;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Na Slovance 2, 182 21 Prague 8, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, na slovance 2, 182 21 prague 8, czech republic;""
10.14278/rodare.2110;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Na Slovance 2, 182 21 Prague 8, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, na slovance 2, 182 21 prague 8, czech republic;""
10.14278/rodare.2110;FZU;Institute of Physics;https://ror.org/02yhj4v17;Institute of Physics of the Czech Academy of Sciences, Na Slovance 2, 182 21 Prague 8, Czech Republic;;;;instituteof physics;fzu;instituteof physics of the czech academy of sciences, na slovance 2, 182 21 prague 8, czech republic;""
10.14278/rodare.3426;Charles University;Charles University;https://ror.org/024d6js02;Charles University, Faculty of Mathematics and Physics, V Holešovičkách 2, 180 00 Prague, Czech Republic;;;;charlesuniversity;charlesuniversity;charlesuniversity, faculty of mathematics and physics, v holesovickach 2, 180 00 prague, czech republic;""
10.14278/rodare.3849;VŠCHT ;University of Chemistry and Technology;https://ror.org/05ggn0a85;University of Chemistry and Technology Prague;;;;universityof chemistry and technology;vscht;universityof chemistry and technology prague;""
10.14278/rodare.3849;VŠCHT ;University of Chemistry and Technology;https://ror.org/05ggn0a85;University of Chemistry and Technology Prague;;;;universityof chemistry and technology;vscht;universityof chemistry and technology prague;""
10.14278/rodare.774;MU;Masaryk University;https://ror.org/02j46qs45;Masaryk University;;;;masarykuniversity;mu;masarykuniversity;""
10.14278/rodare.774;MU;Masaryk University;https://ror.org/02j46qs45;Masaryk University;;;;masarykuniversity;mu;masarykuniversity;""
10.14473/csda/1etkuj;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology of the Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology of the czech academy of sciences;""
10.14473/csda/1etkuj;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology of the Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology of the czech academy of sciences;""
10.14473/csda/1etkuj;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology of the Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology of the czech academy of sciences;""
10.14473/csda/1etkuj;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology of the Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology of the czech academy of sciences;""
10.14473/csda/1etkuj;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology of the Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology of the czech academy of sciences;""
